medication_code,medication_name,medication_class,route,common_dosage
A01AA01,Sodium fluoride,Fluoride,Oral,"2.2 mg daily"
A02BC01,Omeprazole,Proton pump inhibitor,Oral,"20-40 mg daily"
A10BA02,Metformin,Biguanide,Oral,"500-2000 mg daily"
A10BB01,Glibenclamide,Sulfonylurea,Oral,"2.5-20 mg daily"
B01AA03,Warfarin,Anticoagulant,Oral,"1-10 mg daily"
B01AB01,Heparin,Anticoagulant,Parenteral,"5000 units 2-3 times daily"
C01AA05,Digoxin,Cardiac glycoside,Oral,"0.125-0.25 mg daily"
C03CA01,Furosemide,Loop diuretic,Oral/Parenteral,"20-80 mg daily"
C07AB03,Atenolol,Beta blocker,Oral,"25-100 mg daily"
C08CA01,Amlodipine,Calcium channel blocker,Oral,"5-10 mg daily"
C09AA02,Enalapril,ACE inhibitor,Oral,"5-40 mg daily"
C09CA01,Losartan,Angiotensin II receptor blocker,Oral,"25-100 mg daily"
C10AA01,Simvastatin,Statin,Oral,"10-40 mg daily"
J01CA04,Amoxicillin,Penicillin,Oral,"250-500 mg three times daily"
J01MA02,Ciprofloxacin,Fluoroquinolone,Oral/Parenteral,"250-750 mg twice daily"
J01XD01,Metronidazole,Nitroimidazole,Oral/Parenteral,"400-500 mg three times daily"
M01AE01,Ibuprofen,NSAID,Oral,"400-800 mg three times daily"
N02BE01,Paracetamol,Analgesic,Oral,"500-1000 mg up to four times daily"
N05BA01,Diazepam,Benzodiazepine,Oral/Parenteral,"2-10 mg daily"
N06AB06,Sertraline,SSRI,Oral,"50-200 mg daily"
R03AC02,Salbutamol,Beta-2 agonist,Inhalation,"100-200 mcg as needed"
R03BA01,Beclometasone,Corticosteroid,Inhalation,"200-400 mcg twice daily"
